x,y,value
x8,y10,48
x8,y11,1
x8,y12,29
x8,y13,58
x8,y14,75
x8,y15,87
x8,y16,44
x8,y17,65
x8,y18,93
x8,y19,62
x8,y20,27
x8,y21,4
x9,y1,83
x9,y2,52
x9,y3,95
x9,y4,59
x9,y5,40
x9,y6,44
x9,y7,32
x9,y8,86
x9,y9,25
x9,y10,87
x9,y11,80
x9,y12,12
x9,y13,19
x9,y14,29
x9,y15,38
x9,y16,40
x9,y17,50
x9,y18,34
x9,y19,49
x9,y20,94
x9,y21,30
x10,y1,17
x10,y2,1
x10,y3,35
x10,y4,76
x10,y5,24
x10,y6,33
x10,y7,54
x10,y8,32
x10,y9,92
x10,y10,70
x10,y11,12
x10,y12,75
x10,y13,92
x10,y14,79
x10,y15,57
x10,y16,42
x10,y17,35
x10,y18,25
x10,y19,47
x10,y20,55
x10,y21,81
x11,y1,69
x11,y2,66
x11,y3,82
x11,y4,36
x11,y5,23
x11,y6,34
x11,y7,4
x11,y8,23
x11,y9,30
x11,y10,57
x11,y11,97
x11,y12,78
x11,y13,36
x11,y14,26
x11,y15,26
x11,y16,15
x11,y17,84
x11,y18,98
x11,y19,97
x11,y20,3
x11,y21,66
x12,y1,38
x12,y2,20
x12,y3,68
x12,y4,43
x12,y5,17
x12,y6,87
x12,y7,14
x12,y8,58
x12,y9,96
x12,y10,35
x12,y11,38
x12,y12,43
x12,y13,99
x12,y14,25
x12,y15,24
x12,y16,64
x12,y17,57
x12,y18,58
x12,y19,6
x12,y20,84
x12,y21,49
x13,y1,65
x13,y2,58
x13,y3,57
x13,y4,5
x13,y5,8
x13,y6,62
x13,y7,29
x13,y8,70
x13,y9,3
x13,y10,37
x13,y11,27
x13,y12,3
x13,y13,4
x13,y14,24
x13,y15,97
x13,y16,90
x13,y17,12
x13,y18,5
x13,y19,26
x13,y20,75
x13,y21,21
x14,y1,61
x14,y2,44
x14,y3,55
x14,y4,66
x14,y5,80
x14,y6,49
x14,y7,77
x14,y8,83
x14,y9,4
x14,y10,49
x14,y11,1
x14,y12,68
x14,y13,15
x14,y14,51
x14,y15,19
x14,y16,72
x14,y17,18
x14,y18,81
x14,y19,94
x14,y20,92
x14,y21,46
x15,y1,12
x15,y2,39
x15,y3,3
x15,y4,34
x15,y5,33
x15,y6,76
x15,y7,94
x15,y8,12
x15,y9,60
x15,y10,24
x15,y11,59
x15,y12,24
x15,y13,39
x15,y14,61
x15,y15,9
x15,y16,67
x15,y17,83
x15,y18,67
x15,y19,31
x15,y20,11
x15,y21,25
x16,y1,29
x16,y2,59
x16,y3,62
x16,y4,96
x16,y5,36
x16,y6,76
x16,y7,1
x16,y8,64
x16,y9,32
x16,y10,3
x16,y11,6
x16,y12,87
x16,y13,9
x16,y14,28
x16,y15,16
x16,y16,16
x16,y17,41
x16,y18,87
x16,y19,44
x16,y20,70
x16,y21,6
x17,y1,35
x17,y2,99
x17,y3,29
x17,y4,92
x17,y5,81
x17,y6,29
x17,y7,65
x17,y8,40
x17,y9,63
x17,y10,3
x17,y11,48
x17,y12,78
x17,y13,57
x17,y14,43
x17,y15,65
x17,y16,15
x17,y17,21
x17,y18,78
x17,y19,63
x17,y20,11
x17,y21,93
x18,y1,55
x18,y2,40
x18,y3,54
x18,y4,81
x18,y5,45
x18,y6,43
x18,y7,91
x18,y8,8
x18,y9,18
x18,y10,98
x18,y11,16
x18,y12,32
x18,y13,7
x18,y14,76
x18,y15,78
x18,y16,27
x18,y17,65
x18,y18,54
x18,y19,53
x18,y20,3
x18,y21,66
x19,y1,90
x19,y2,40
x19,y3,52
x19,y4,11
x19,y5,65
x19,y6,43
x19,y7,62
x19,y8,91
x19,y9,5
x19,y10,89
x19,y11,59
x19,y12,94
x19,y13,30
x19,y14,13
x19,y15,89
x19,y16,75
x19,y17,76
x19,y18,16
x19,y19,96
x19,y20,83
x19,y21,40
x20,y1,72
x20,y2,66
x20,y3,30
x20,y4,76
x20,y5,70
x20,y6,39
x20,y7,56
x20,y8,92
x20,y9,7
x20,y10,78
x20,y11,54
x20,y12,51
x20,y13,71
x20,y14,24
x20,y15,64
x20,y16,95
x20,y17,30
x20,y18,54
x20,y19,61
x20,y20,78
x20,y21,97
x21,y1,58
x21,y2,45
x21,y3,52
x21,y4,67
x21,y5,40
x21,y6,32
x21,y7,97
x21,y8,18
x21,y9,89
x21,y10,91
x21,y11,1
x21,y12,91
x21,y13,3
x21,y14,46
x21,y15,8
x21,y16,60
x21,y17,80
x21,y18,97
x21,y19,80
x21,y20,13
x21,y21,51
