group,variable,value
x12,y8,39
x12,y9,29
x12,y10,86
x12,y11,13
x12,y12,35
x12,y13,46
x12,y14,21
x12,y15,55
x12,y16,78
x12,y17,71
x12,y18,1
x12,y19,43
x12,y20,21
x12,y21,55
x13,y1,31
x13,y2,28
x13,y3,83
x13,y4,93
x13,y5,64
x13,y6,55
x13,y7,42
x13,y8,39
x13,y9,40
x13,y10,63
x13,y11,99
x13,y12,24
x13,y13,96
x13,y14,47
x13,y15,57
x13,y16,53
x13,y17,96
x13,y18,82
x13,y19,42
x13,y20,60
x13,y21,19
x14,y1,61
x14,y2,90
x14,y3,54
x14,y4,77
x14,y5,16
x14,y6,45
x14,y7,44
x14,y8,83
x14,y9,84
x14,y10,6
x14,y11,89
x14,y12,94
x14,y13,93
x14,y14,63
x14,y15,29
x14,y16,79
x14,y17,5
x14,y18,60
x14,y19,91
x14,y20,39
x14,y21,14
x15,y1,34
x15,y2,25
x15,y3,10
x15,y4,47
x15,y5,31
x15,y6,32
x15,y7,91
x15,y8,15
x15,y9,7
x15,y10,60
x15,y11,34
x15,y12,9
x15,y13,40
x15,y14,97
x15,y15,37
x15,y16,60
x15,y17,13
x15,y18,16
x15,y19,53
x15,y20,48
x15,y21,66
x16,y1,8
x16,y2,6
x16,y3,90
x16,y4,39
x16,y5,73
x16,y6,69
x16,y7,62
x16,y8,14
x16,y9,1
x16,y10,65
x16,y11,31
x16,y12,16
x16,y13,32
x16,y14,90
x16,y15,68
x16,y16,6
x16,y17,46
x16,y18,36
x16,y19,82
x16,y20,77
x16,y21,28
x17,y1,74
x17,y2,86
x17,y3,87
x17,y4,26
x17,y5,34
x17,y6,23
x17,y7,43
x17,y8,5
x17,y9,64
x17,y10,47
x17,y11,32
x17,y12,66
x17,y13,81
x17,y14,79
x17,y15,8
x17,y16,39
x17,y17,87
x17,y18,33
x17,y19,87
x17,y20,11
x17,y21,22
x18,y1,18
x18,y2,69
x18,y3,88
x18,y4,79
x18,y5,93
x18,y6,3
x18,y7,20
x18,y8,7
x18,y9,77
x18,y10,54
x18,y11,93
x18,y12,61
x18,y13,95
x18,y14,49
x18,y15,64
x18,y16,64
x18,y17,21
x18,y18,87
x18,y19,29
x18,y20,29
x18,y21,75
x19,y1,89
x19,y2,65
x19,y3,78
x19,y4,95
x19,y5,76
x19,y6,41
x19,y7,3
x19,y8,51
x19,y9,53
x19,y10,59
x19,y11,77
x19,y12,53
x19,y13,86
x19,y14,29
x19,y15,91
x19,y16,66
x19,y17,89
x19,y18,19
x19,y19,96
x19,y20,39
x19,y21,74
x20,y1,47
x20,y2,99
x20,y3,38
x20,y4,64
x20,y5,5
x20,y6,19
x20,y7,37
x20,y8,73
x20,y9,30
x20,y10,18
x20,y11,15
x20,y12,30
x20,y13,41
x20,y14,14
x20,y15,43
x20,y16,61
x20,y17,11
x20,y18,24
x20,y19,57
x20,y20,56
x20,y21,8
x21,y1,34
x21,y2,98
x21,y3,49
x21,y4,9
x21,y5,69
x21,y6,65
x21,y7,23
x21,y8,38
x21,y9,93
x21,y10,94
x21,y11,91
x21,y12,85
x21,y13,36
x21,y14,21
x21,y15,96
x21,y16,10
x21,y17,19
x21,y18,30
x21,y19,98
x21,y20,8
x21,y21,68
